Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
MILLAGE,55 Changi Road  #01-17 ,14,Strata,844000,60286,5601,26-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-13 ,10,Strata,426000,42600,3958,26-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-25 ,10,Strata,466000,46600,4329,26-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-15 ,10,Strata,446000,44600,4143,27-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-21 ,11,Strata,462000,42000,3902,27-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-31 ,12,Strata,458000,38167,3546,27-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-22 ,11,Strata,455000,41364,3843,27-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-16 ,15,Strata,575000,38333,3561,28-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-16 ,11,Strata,462000,42000,3902,28-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-28 ,15,Strata,584000,38933,3617,28-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-10 ,12,Strata,709000,59083,5489,29-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-06 ,32,Strata,1076000,33625,3124,29-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-32 ,13,Strata,483000,37154,3452,29-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-02 ,36,Strata,1180000,32778,3045,29-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-18 ,15,Strata,952000,63467,5896,30-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-03 ,19,Strata,699000,36789,3418,30-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-20 ,15,Strata,952000,63467,5896,02-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-33 ,13,Strata,483000,37154,3452,02-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-30 ,28,Strata,950000,33929,3152,02-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-02 ,9,Strata,508000,56444,5244,03-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-23 ,11,Strata,433000,39364,3657,03-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-29 ,20,Strata,721000,36050,3349,03-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-06 ,17,Strata,719000,42294,3929,03-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-01 ,11,Strata,602000,54727,5084,03-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-12 ,20,Strata,696000,34800,3233,03-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-05 ,18,Strata,666000,37000,3437,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-09 ,12,Strata,560000,46667,4335,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-11 ,10,Strata,433000,43300,4023,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-08 ,11,Strata,549000,49909,4637,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
N.A.,43/A/B/ 32A/B Lorong 25 Geylang/Aljunied Road ,1167,Land,33000000,28280,2627,04-APR-2012,Shop House,Freehold,Resale,14,38,388309,Central Region,Geylang
MILLAGE,55 Changi Road  #01-16 ,14,Strata,808000,57714,5362,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-04 ,15,Strata,566000,37733,3506,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-07 ,54,Strata,2362000,43741,4064,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
